"","year","egg","larval","mean.anom"
"1980",1980,-0.136997171958542,-0.25408584461698,-0.195541508287761
"1981",1981,1.63433872059517,1.45057817767277,1.54245844913397
"1982",1982,0.709946306810714,-0.829145584509415,-0.0595996388493506
"1983",1983,1.65057929411162,0.952854404079249,1.30171684909544
"1984",1984,2.44710079092907,0.863947679819911,1.65552423537449
"1985",1985,0.149945415618103,-0.380266579437883,-0.11516058190989
"1986",1986,0.0625693206361952,-0.567434353148562,-0.252432516256183
"1987",1987,0.220494965207544,0.729825507496824,0.475160236352184
"1988",1988,-0.254981904862874,0.534575073450395,0.139796584293761
"1989",1989,-0.899815499558449,-0.760744334446636,-0.830279917002543
"1990",1990,-0.937874759464159,-0.329277483845198,-0.633576121654679
"1991",1991,-1.23078716123906,-0.700402153122661,-0.965594657180859
"1992",1992,-0.384203275629868,0.292863344758362,-0.0456699654357529
"1993",1993,-0.00730916554282598,0.413686108348469,0.203188471402821
"1994",1994,-0.817653296423719,-0.282073576212433,-0.549863436318076
"1995",1995,0.119674775479741,-0.328896799351751,-0.104611011936005
"1996",1996,-0.313115070512544,0.342903354049762,0.0148941417686091
"1997",1997,-0.134627097050682,0.268283026324966,0.066827964637142
"1998",1998,1.55721075651892,1.45249181475288,1.5048512856359
"1999",1999,-0.406184972292206,-1.01603517463428,-0.711110073463245
"2000",2000,0.176184410679093,0.353560141572984,0.264872276126038
"2001",2001,1.33310790862984,0.793059805437765,1.0630838570338
"2002",2002,-0.0846792489595938,-0.00566624144075617,-0.045172745200175
"2003",2003,0.339249640727853,1.47024680240945,0.904748221568652
"2004",2004,-0.198713435220113,0.371881507131303,0.0865840359555953
"2005",2005,-0.743231617419297,0.565407372750273,-0.0889121223345121
"2006",2006,-0.260247524559015,-0.302878363448379,-0.281562944003697
"2007",2007,-0.857409325611201,-1.89344903114952,-1.37542917838036
"2008",2008,-1.23891588037056,-1.57495824807385,-1.40693706422221
"2009",2009,-1.49365589926916,-1.63085035261705,-1.56225312594311
"2010",2010,-1.06846888652568,-0.35845139969075,-0.713460143108217
"2011",2011,-1.58851255707211,-0.518842197211281,-1.05367737714169
"2012",2012,-1.40206389226056,-1.95655129192406,-1.67930759209231
"2013",2013,-1.71409051810391,-0.744457968035481,-1.22927424306969
"2014",2014,-1.99426638209648,0.247438820825659,-0.873413780635412
"2015",2015,-1.34372276977309,1.410192890901,0.0332350605639513
"2016",2016,-0.000566700474756478,2.38697300977326,1.19320315464925
"2017",2017,-1.64880553992803,0.185405631479047,-0.731699954224491
"2018",2018,-1.75783746838235,0.281126310952022,-0.738355578715166
"2019",2019,0.219911306484233,1.6618340316492,0.940872669066716
"2020",2020,-0.353453618041689,-0.411011992586284,-0.382232805313987
