"year","jan.feb.mar.SST"
1950,3.86241278761909
1951,3.95256774198441
1952,3.77466346252532
1953,4.09758291358039
1954,3.96168338400977
1955,4.90483898775918
1956,4.0965302331107
1957,4.14045518920535
1958,5.12802219390869
1959,4.96334018593743
1960,4.48296743347531
1961,4.34045374393463
1962,4.15914374306088
1963,4.60886758282071
1964,4.98824150221688
1965,3.56599545478821
1966,4.07457359631856
1967,4.09001338481903
1968,4.23448886757805
1969,3.61944287731534
1970,4.87149227800823
1971,3.80208055178324
1972,2.9407148701804
1973,3.63229995682126
1974,3.74533642473675
1975,3.9474443651381
1976,3.90618539991833
1977,4.9004263764336
1978,3.95100227424077
1979,4.53375081221263
1980,4.25872999145871
1981,4.41292756512052
1982,4.43019014313107
1983,4.8240738596235
1984,5.1299675930114
1985,5.05786039715722
1986,4.62351958524613
1987,5.20463846978687
1988,4.94889444396609
1989,4.1130614678065
1990,4.18742124239604
1991,4.11914714745113
1992,4.46904196058001
1993,4.22645843596685
1994,4.89631256603059
1995,4.04777037529718
1996,4.20605800265358
1997,4.07647338935307
1998,4.97825825782049
1999,4.53474224749066
2000,4.01186217012859
2001,4.90710819335211
2002,4.06678281511579
2003,5.53734127680461
2004,4.22908186344873
2005,4.61565925961449
2006,4.20618862197513
2007,3.69804630109242
2008,3.77479092847733
2009,3.55832365864799
2010,4.72806936218625
2011,4.50671301001594
2012,3.50551596141997
2013,4.46931456951868
2014,4.88432719026293
2015,5.74343872070312
2016,5.84519875617254
2017,5.04757314068931
2018,4.99590101696196
2019,5.73634203275045
2020,4.66463687874022
2021,4.8095805815288
